Parameter,Estimate,Std. Error
PopNR intercept (ln(mg)),4.171751483252192,0.12296653071631565
Slope (ln(mg))/ln(ng/L/h)),0.15540233383809213,0.05111762710345425
PopTH intercept (ln(mg)),4.142770256843613,0.12744428404448496
PopWF intercept (ln(mg)),4.212044048363447,0.12544834729186766
